k= 2,k= 5,k= 10
124793.80279017104,118938.74918083455,120879.12172872444
121285.59643150136,119148.54513083157,117395.76518030402
131268.21171169274,123289.31283190126,121052.2370955135
124998.48930611636,119941.6636977746,120487.07379522418
120454.88493348636,121406.10333953655,117097.12098403342
123226.65913570605,121934.1181790064,120967.08664837976
130017.22150516481,121953.4574216657,121836.29714946092
120869.03601438995,116736.76290843882,120347.60572904251
125546.71571981479,127619.69434733671,116568.66563502938
128077.39469206284,120422.19239542214,121619.77094414382
125201.43881769804,117334.86046496946,118557.2973497707
128663.83006703685,115738.15718084486,118441.94481708901
116345.761118203,120313.84943172653,119593.5315946602
122075.52186698365,120814.52730946016,114444.21016803791
110940.48719863642,120409.57048362351,118733.48040769494
117401.18412231296,115391.67292475628,119359.00840237828
126327.16947365752,122155.74428925574,118873.16492054582
123292.19331367523,124315.29387868903,116979.61695898567
116967.22108921583,118741.35285557449,120264.29355725361
118348.68122947743,121036.01123621303,122519.47124282054
125389.12078449305,123443.82599612615,118507.3017543811
121724.20866811372,125281.47416041032,121609.45630122835
128469.38908409205,122072.86148118657,121023.66584630158
119674.63377892312,126362.02519608855,118240.50582171649
125958.20306732455,118363.19872064775,119851.66620318993
124130.67159853579,121994.41473278943,122070.6110928983
130527.9916984575,120156.7502800358,120476.26320094647
138041.47591178288,119342.37621272766,120019.81710051981
124418.85657152465,119405.78123001142,119743.58009949083
131068.09067517114,117916.51736627525,116163.45602521522
